Va,Vb,Vc,Ia,Ib,Ic,Fault
227.9301086,-401.6364613,173.7063526,0.61637519,-0.352675769,-0.263699422,AB
463.9257292,-572.2890401,108.3633109,0.635529376,-0.36560197,-0.269927406,AB
536.2971078,-578.3261164,42.02900864,0.628357582,-0.354663605,-0.273693977,AB
500.8653838,-476.1629291,-24.7024547,0.624943508,-0.349983899,-0.274959609,AB
411.1649056,-319.9328617,-91.23204386,0.642420625,-0.368712289,-0.273708336,AB
306.8091922,-149.8478654,-156.9613268,0.687264175,-0.417315975,-0.2699482,AB
226.8644814,-5.566514836,-221.2979665,0.758212078,-0.494500675,-0.263711403,AB
297.9350572,-14.27459473,-283.6604624,0.825481454,-0.570426868,-0.255054586,AB
46.00889932,297.4868167,-343.495716,0.919630307,-0.67557391,-0.244056397,AB
-84.36755897,484.6204828,-400.2529238,1.061302166,-0.830483196,-0.230818971,AB
-48.73941028,502.1607885,-453.4213782,1.211620588,-0.996153252,-0.215467336,AB
83.29206959,419.232963,-502.5250325,1.339382924,-1.141236513,-0.198146411,AB
248.60805,298.5158844,-547.1239344,1.429058308,-1.250038785,-0.179019522,AB
404.0547362,182.7636022,-586.8183383,1.477224925,-1.318957985,-0.15826694,AB
516.4091698,104.8433681,-621.2525379,1.488340773,-1.352256593,-0.13608418,AB
473.5492642,176.568041,-650.1173052,1.489524495,-1.37684408,-0.112680414,AB
693.4636803,-20.30004468,-673.1636356,1.460658316,-1.372383482,-0.088274834,AB
789.884708,-99.7072709,-690.1774371,1.383007898,-1.319911796,-0.063096101,AB
715.9246387,-14.91424695,-701.0103917,1.294667761,-1.257287166,-0.037380595,AB
552.6851801,152.8873824,-705.5725625,1.224590769,-1.213222471,-0.011368298,AB
370.0591808,333.7705029,-703.8296837,1.183975279,-1.198674874,0.014699595,AB
211.5823775,484.2210992,-695.8034766,1.171251115,-1.211833921,0.040582806,AB
103.4921284,578.0795331,-681.5716614,1.177623711,-1.243667854,0.066044143,AB
139.5328883,521.7334872,-661.2663755,1.17717315,-1.268024596,0.090851445,AB
-45.7869225,680.8693564,-635.0824339,1.181469754,-1.296250686,0.114780932,AB
-125.0534769,728.3049915,-603.2515147,1.207771527,-1.345389557,0.13761803,AB
-48.54239292,614.6075263,-566.0651334,1.220392587,-1.379551244,0.159158656,AB
93.99574682,429.8689675,-523.8647144,1.194009706,-1.37322241,0.179212704,AB
229.0742624,247.9602489,-477.0345114,1.122768816,-1.32037448,0.197605664,AB
316.0823005,109.9158944,-425.9981949,1.013829615,-1.228009381,0.214179766,AB
337.5317219,33.68369049,-371.2154124,0.880583458,-1.109378505,0.228795047,AB
220.4120167,92.76494166,-313.1769583,0.748693862,-0.990023992,0.241330131,AB
282.9317783,-30.52321776,-252.4085605,0.613756997,-0.865440966,0.251683969,AB
255.0807959,-65.63513017,-189.4456657,0.460414929,-0.720190517,0.259775587,AB
84.63970395,40.21050592,-124.8502099,0.32201732,-0.587561117,0.265543797,AB
-132.2965424,191.4964665,-59.19992405,0.221127446,-0.490076495,0.26894905,AB
-320.6836326,313.7626133,6.921019336,0.159998511,-0.429971951,0.26997344,AB
-444.4330093,371.5060986,72.92691071,0.128423879,-0.397044094,0.268620215,AB
-494.8156647,356.5806624,138.2350023,0.111581047,-0.376494274,0.264913227,AB
-418.5926243,216.3216106,202.2710137,0.086906655,-0.345802862,0.258896207,AB
-490.2877408,225.8206504,264.4670904,0.056540849,-0.307173639,0.250632791,AB
-491.7284476,167.4444934,324.2839542,0.037417926,-0.277623002,0.240205076,AB
-366.3783329,-14.81898416,381.1973171,0.002239254,-0.229951191,0.227711937,AB
-212.0055681,-222.7010371,434.7066052,-0.065737027,-0.147532449,0.213269476,AB
-101.2213613,-383.1223253,484.3436866,-0.162833298,-0.034176513,0.197009811,AB
-62.41396261,-467.262502,529.6764646,-0.274064091,0.094984656,0.179079435,AB
-93.9489619,-476.3627348,570.3116967,-0.381841119,0.222203463,0.159637655,AB
-229.5020005,-376.3964966,605.8984971,-0.464959175,0.326104157,0.138855018,AB
-232.8481674,-403.2771876,636.125355,-0.523080183,0.4061678,0.116912384,AB
-275.5494997,-385.1875839,660.7370836,-0.573215568,0.479216551,0.093999017,AB
-418.4464386,-261.0753559,679.5217945,-0.592636631,0.522326313,0.070310318,AB
-564.9496994,-127.3658928,692.3155922,-0.5684213,0.522373627,0.046047673,AB
-646.7838905,-52.22467385,699.0085643,-0.50765651,0.486239674,0.021416836,AB
-644.1777301,-55.36747966,699.5452098,-0.427319173,0.43069322,-0.003374047,AB
-568.6496275,-125.2742824,693.9239099,-0.344992126,0.373108348,-0.028116222,AB
-403.6012386,-278.5957133,682.1969519,-0.278501815,0.33110383,-0.052602014,AB
-350.7206328,-313.7445545,664.4651873,-0.227889404,0.30451534,-0.076625935,AB
-277.98782,-362.9012071,640.889027,-0.174791158,0.274777605,-0.099986448,AB
-119.6254814,-492.049267,611.6747484,-0.136649534,0.259137691,-0.122488157,AB
32.05136795,-609.1259773,577.0746094,-0.122686912,0.266628892,-0.14394198,AB
114.7618494,-652.1513643,537.3895149,-0.123349089,0.287515707,-0.164166618,AB
117.6310216,-610.5970095,492.9659878,-0.121132196,0.304122539,-0.182990344,AB
60.84820296,-505.0404061,444.1922032,-0.100156184,0.300408717,-0.200252534,AB
-58.53540118,-332.95925,391.4946512,-0.047289726,0.26309473,-0.215805005,AB
-70.56304108,-264.7675598,335.3306009,0.035068849,0.194444005,-0.229512854,AB
-75.69847134,-200.4954966,276.1939679,0.125961357,0.11529434,-0.241255697,AB
-145.7837238,-68.81755452,214.6012783,0.23654254,0.014386821,-0.250929361,AB
-196.1955428,45.10732945,151.0882134,0.371592732,-0.113147056,-0.258445676,AB
-172.6324972,86.42260255,86.20989464,0.518579166,-0.254845795,-0.263733371,AB
-73.80826392,53.27265712,20.5356068,0.65887304,-0.392133786,-0.266739253,AB
71.89256611,-26.53534221,-45.3572239,0.777347691,-0.509918665,-0.267429026,AB
256.1052061,-145.2170338,-110.8881723,0.863792436,-0.598004615,-0.265787821,AB
336.6864482,-161.2044607,-175.4819875,0.921446937,-0.65962667,-0.261820267,AB
388.5447176,-149.9790214,-238.5656962,0.971206583,-0.715655862,-0.255550721,AB
488.4807578,-188.8993953,-299.5813625,1.004960071,-0.75793613,-0.247023941,AB
560.2977571,-202.3068968,-357.9908603,1.018764865,-0.782460915,-0.23630395,AB
556.875748,-143.5999011,-413.2758469,1.024242345,-0.80076853,-0.223473815,AB
484.4238962,-19.48092803,-464.9429681,1.037333186,-0.828697537,-0.208635649,AB
